id_head,type,id_tail
5,contains file,8
18,references,17
34,class contains method,38
4,file contains function,33
19,class contains method,21
29,references,24
12,file contains function,52
39,class contains method,40
7,file contains function,59
61,references,53
20,references,53
22,references,29
19,class contains method,23
44,class contains method,45
9,file contains function,27
58,references,19
60,references,59
1,contains file,9
0,contains folder,5
9,file contains function,29
10,file contains function,54
17,references,52
29,references,28
1,contains file,2
46,class contains method,47
56,references,59
32,references,33
1,contains folder,13
9,file contains function,31
11,file contains function,62
10,file contains function,56
1,contains file,4
46,class contains method,49
4,file contains function,32
22,references,26
28,references,27
3,file contains function,53
15,references,15
9,file contains function,24
12,file contains function,51
33,references,19
12,file contains class,42
6,contains file,7
9,file contains function,17
29,references,16
9,file contains function,26
52,references,42
52,references,51
20,references,18
42,class contains method,43
34,class contains method,35
12,file contains class,44
57,references,15
22,references,30
9,file contains function,28
62,references,53
33,references,60
27,references,31
5,contains folder,6
34,class contains method,37
12,file contains class,46
51,references,46
14,file contains function,15
9,file contains function,30
11,file contains function,61
52,references,46
10,file contains function,55
19,class contains method,20
2,file contains function,57
12,file contains class,39
52,references,39
12,file contains function,50
19,class contains method,22
5,contains file,11
39,class contains method,41
26,references,24
0,contains folder,1
7,file contains function,60
9,file contains function,16
9,file contains function,25
52,references,50
12,file contains class,34
1,contains file,10
8,file contains function,58
33,references,32
9,file contains function,18
54,references,57
9,file contains class,19
17,references,16
34,class contains method,36
50,references,42
1,contains file,3
1,contains file,12
13,contains file,14
46,class contains method,48
